date,y_true,y_pred
2010-01-04,-0.08583293951326929,0.0
2010-01-05,-0.08081505042680776,0.0
2010-01-06,-0.10213294894345055,0.0
2010-01-07,-0.08412180467313934,0.0
2010-01-08,-0.07988540479927099,0.0
2010-01-11,-0.11528302178142422,0.0
2010-01-12,-0.1094659674548257,0.0
2010-01-13,-0.12015758719216307,0.0
2010-01-14,-0.1337075447533499,0.0
2010-01-15,-0.10805401570666337,0.0
2010-01-19,-0.12370965955880374,0.0
2010-01-20,-0.11347546398539146,0.0
2010-01-21,-0.07456464288701424,0.0
2010-01-22,-0.05987475053062375,0.0
2010-01-25,-0.05853423708180171,0.0
2010-01-26,-0.06326869097427683,0.0
2010-01-27,-0.0719264416049512,0.0
2010-01-28,-0.07547646077488057,0.0
2010-01-29,-0.07258445987620989,0.0
2010-02-01,-0.08556758356352034,0.0
2010-02-02,-0.10152692108649895,-0.0909219338040919
2010-02-03,-0.08977004067529712,-0.0909219338040919
2010-02-04,-0.08266376158213229,-0.0909219338040919
2010-02-05,-0.08916623442473506,-0.0909219338040919
2010-02-08,-0.09283610182468835,-0.0909219338040919
2010-02-09,-0.09812783651317995,-0.0909219338040919
2010-02-10,-0.08698177664945955,-0.0909219338040919
2010-02-11,-0.07445614213424029,-0.0909219338040919
2010-02-12,-0.06386932979611684,-0.0909219338040919
2010-02-16,-0.07016334511610836,-0.0909219338040919
2010-02-17,-0.07956479946398505,-0.08495614898024567
2010-02-18,-0.07677075993219959,-0.08495614898024567
2010-02-19,-0.07677075993219959,-0.08495614898024567
2010-02-22,-0.07083479245059437,-0.08495614898024567
2010-02-23,-0.08229312043347213,-0.08495614898024567
2010-02-24,-0.08512951839611839,-0.08495614898024567
2010-02-25,-0.08854749435182256,-0.08495614898024567
2010-02-26,-0.10536049540996396,-0.08495614898024567
2010-03-01,-0.10852008123728814,-0.08495614898024567
2010-03-02,-0.112335752574872,-0.08495614898024567
2010-03-03,-0.09392225887170845,-0.08678445319924863
2010-03-04,-0.08972098366736445,-0.08678445319924863
2010-03-05,-0.11715865139413593,-0.08678445319924863
2010-03-08,-0.11190967840429196,-0.08678445319924863
2010-03-09,-0.1074234834110723,-0.08678445319924863
2010-03-10,-0.08932746017247513,-0.08678445319924863
2010-03-11,-0.08894028080470633,-0.08678445319924863
2010-03-12,-0.07159858593278738,-0.08678445319924863
2010-03-15,-0.07783504698403917,-0.08678445319924863
2010-03-16,-0.0786176826599081,-0.08678445319924863
2010-03-17,-0.07623970068697097,-0.08873810587624872
2010-03-18,-0.08071222238959522,-0.08873810587624872
2010-03-19,-0.10312356548929859,-0.08873810587624872
2010-03-22,-0.10549744882495224,-0.08873810587624872
2010-03-23,-0.11418737716231267,-0.08873810587624872
2010-03-24,-0.10856778987659728,-0.08873810587624872
2010-03-25,-0.09080878204759273,-0.08873810587624872
2010-03-26,-0.08467726133070307,-0.08873810587624872
2010-03-29,-0.11387477622544888,-0.08873810587624872
2010-03-30,-0.11735668714366573,-0.08873810587624872
2010-03-31,-0.10941484572036905,-0.09142971968661498
2010-04-01,-0.1367643050399459,-0.09142971968661498
2010-04-05,-0.12408785514254053,-0.09142971968661498
2010-04-06,-0.1298116109355111,-0.09142971968661498
2010-04-07,-0.1152519844554393,-0.09142971968661498
2010-04-08,-0.12418266694761375,-0.09142971968661498
2010-04-09,-0.13246325016094165,-0.09142971968661498
2010-04-12,-0.10678557956327386,-0.09142971968661498
2010-04-13,-0.10251913994600614,-0.09142971968661498
2010-04-14,-0.08977864901320808,-0.09142971968661498
2010-04-15,-0.09279918333247589,-0.09656497348778897
2010-04-16,-0.08130810887705113,-0.09656497348778897
2010-04-19,-0.0789196884328993,-0.09656497348778897
2010-04-20,-0.07098390184767464,-0.09656497348778897
2010-04-21,-0.050958100316394965,-0.09656497348778897
2010-04-22,-0.03608132798102164,-0.09656497348778897
2010-04-23,-0.03671034512398867,-0.09656497348778897
2010-04-26,-0.0301069880771992,-0.09656497348778897
2010-04-27,-0.02376347163781621,-0.09656497348778897
2010-04-28,-0.016993887763444075,-0.09656497348778897
2010-04-29,-0.0298529649974576,-0.08911456129632357
2010-04-30,-0.01533720130774237,-0.08911456129632357
2010-05-03,-0.02545831611187862,-0.08911456129632357
2010-05-04,-0.006177894249809875,-0.08911456129632357
2010-05-05,-0.016944049843654233,-0.08911456129632357
2010-05-06,0.018421555651427647,-0.08911456129632357
2010-05-07,0.028198929174152346,-0.08911456129632357
2010-05-10,-0.0009834679216862308,-0.08911456129632357
2010-05-11,0.0009844360830730569,-0.08911456129632357
2010-05-12,-0.017077543232071862,-0.08911456129632357
2010-05-13,0.012105524709436204,-0.07730143135050088
2010-05-14,0.02178303502814058,-0.07730143135050088
2010-05-17,0.023740027615849774,-0.07730143135050088
2010-05-18,0.034383582598256995,-0.07730143135050088
2010-05-19,0.03739066010575854,-0.07730143135050088
2010-05-20,0.07151900965519548,-0.07730143135050088
2010-05-21,0.07618916239373968,-0.07730143135050088
2010-05-24,0.07669031544754266,-0.07730143135050088
2010-05-25,0.08505790459172013,-0.07730143135050088
2010-05-26,0.10063604815037568,-0.07730143135050088
2010-05-27,0.06149615669363473,-0.06089506155298807
2010-05-28,0.07569012406137234,-0.06089506155298807
2010-06-01,0.08940198371441958,-0.06089506155298807
2010-06-02,0.06823837014204497,-0.06089506155298807
2010-06-03,0.06785610284997678,-0.06089506155298807
2010-06-04,0.09473544781060778,-0.06089506155298807
2010-06-07,0.09005410256440748,-0.06089506155298807
2010-06-08,0.09336316221833935,-0.06089506155298807
