ticker,diracc,mae,rmse
XLE,0.5736455213721753,0.1133787048462429,0.16019549277603184
XLF,0.685270895725565,0.08866256799126587,0.11698532306555613
XLI,0.7035121154369725,0.07310400564488252,0.09792081985712656
XLK,0.8091478355567656,0.06896907888906526,0.09335059697816502
XLP,0.7299210454669208,0.04328843667019684,0.05593174140055398
XLV,0.7269262183501225,0.053760071493207634,0.06706215383046091
MEAN,0.7047372719847537,0.07352714425581018,0.09857435465131574
