HORIZON,DIRACC,MAE,RMSE
1,0.529,0.0086,0.0127
5,0.569,0.0192,0.0270
10,0.591,0.0267,0.0376
20,0.615,0.0374,0.0526
40,0.656,0.0507,0.0694
50,0.677,0.0561,0.0761
70,0.710,0.0635,0.0853
100,0.735,0.0737,0.0984
