HORIZON,DIRACC,MAE,RMSE
1,0.529,0.0086,0.0127
5,0.569,0.0192,0.0270
10,0.591,0.0267,0.0375
20,0.618,0.0374,0.0525
40,0.655,0.0508,0.0694
50,0.677,0.0560,0.0760
70,0.707,0.0636,0.0852
100,0.737,0.0733,0.0980
